player_id,display_name,mean_receiving_yards,mean_receiving_tds,mean_receptions,mean_rushing_yards,mean_rushing_tds,mean_fumbles,median_receiving_yards,median_receiving_tds,median_receptions,median_rushing_yards,median_rushing_tds,median_fumbles,p10_receiving_yards,p10_receiving_tds,p10_receptions,p10_rushing_yards,p10_rushing_tds,p10_fumbles,p90_receiving_yards,p90_receiving_tds,p90_receptions,p90_rushing_yards,p90_rushing_tds,p90_fumbles
00-0034775,Christian Kirk,358.9,0.8,25.0,0.1,0.0,0.2,302.1,0.6,22.5,0.0,0.0,0.0,133.2,0.0,11.2,0.0,0.0,0.0,681.8,2.1,43.5,0.1,0.0,0.7
00-0035216,Diontae Johnson,352.9,2.6,30.8,2.3,0.0,0.2,296.0,2.1,27.6,0.9,0.0,0.0,129.6,0.6,13.9,0.0,0.0,0.0,678.4,5.3,53.6,6.9,0.0,0.7
00-0033555,Mack Hollins,352.9,4.4,28.7,0.1,0.0,0.2,295.1,3.8,25.5,0.0,0.0,0.0,131.2,1.4,13.2,0.0,0.0,0.0,671.2,8.6,50.1,0.1,0.0,0.7
00-0036261,Brandon Aiyuk,349.7,0.1,23.4,0.1,0.0,0.2,290.2,0.0,20.9,0.0,0.0,0.0,130.5,0.0,10.5,0.0,0.0,0.0,677.6,0.6,40.7,0.1,0.0,0.7
00-0033589,David Moore,326.1,2.6,29.9,0.1,0.0,0.2,275.4,2.2,26.7,0.0,0.0,0.0,121.5,0.6,13.5,0.0,0.0,0.0,618.4,5.3,51.9,0.1,0.0,0.7
00-0037545,Rashid Shaheed,325.2,2.5,18.4,12.1,0.0,0.2,275.4,2.1,16.4,6.8,0.0,0.0,120.3,0.6,8.1,0.9,0.0,0.0,617.5,5.3,32.1,31.8,0.0,0.7
00-0038979,Cedric Tillman,320.4,2.6,27.0,0.0,0.0,1.1,270.7,2.2,24.2,0.0,0.0,1.0,118.8,0.6,12.1,0.0,0.0,0.2,612.4,5.3,47.2,0.0,0.0,2.4
00-0035500,Greg Dortch,319.3,2.6,34.5,13.2,0.0,2.2,270.1,2.2,31.0,7.6,0.0,2.0,117.8,0.6,15.7,1.1,0.0,0.7,610.1,5.4,59.3,34.3,0.0,4.0
00-0032385,Sterling Shepard,313.2,0.8,29.6,30.4,0.0,0.2,265.4,0.6,26.4,18.0,0.0,0.0,116.2,0.0,13.4,3.6,0.0,0.0,594.4,2.2,51.1,77.4,0.0,0.7
00-0032951,Laquon Treadwell,300.4,1.7,24.8,71.6,0.2,1.8,253.6,1.4,22.1,42.5,0.1,1.5,110.3,0.2,11.0,9.4,0.0,0.5,570.2,3.8,43.4,182.0,0.6,3.4
00-0040130,Jayden Higgins,300.2,1.7,24.7,73.1,0.2,1.8,253.0,1.4,22.1,44.1,0.1,1.5,111.3,0.2,11.1,10.0,0.0,0.5,569.4,3.7,43.0,187.2,0.6,3.4
